Timeseries,WaterLevel,Capacity,Delta,Interval,FreeSpillway.FS1.edc4d650-578c-4acf-8c8c-7f0f4f672462,GatedSpillway.GS1.ccb4bb68-1a7e-4e73-a5a3-178763e09e7e,CircularCulvert.CC1.8dff0bb6-d821-46ee-adb0-48bab2fe54c5,CircularCulvertV2.CC2.f06e69a8-1417-47ce-a620-7afd4a384f4f,BoxCulvert.BC1.2aa5c0eb-b285-486f-aa1d-62816ab316fe,Pump.P1.5b8e3e58-f4e2-43c7-9ac6-c531abe4e4ce,Unknown.U1.3c240cde-0cad-4ae9-86a2-c97e43d32415,Inflow,Outflow
2022-01-01,109.3,2.53,0.0,0,0.0,0.0,4.046643409049035,0.13183939943654885,0.573936737780985,0.0,0.0,0.0,4.7524195462665695
2022-01-02,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.5869361733465411,0.0,0.0,4.765418981832125,4.765418981832125
2022-01-03,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.03184363709549373,0.0,0.0,4.210326445581078,4.210326445581078
2022-01-04,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,1.0054075198027803,0.25,0.25,5.683890328288364,5.683890328288364
2022-01-05,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.36247319336816075,0.0,0.0,4.540956001853745,4.540956001853745
2022-01-06,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.33297728360819895,0.0,0.0,4.511460092093783,4.511460092093783
2022-01-07,109.3,2.53,0.0,86400,0.0,0.0,4.046643409049035,0.13183939943654885,0.07240399208086334,0.0,0.0,4.250886800566447,4.250886800566447
2022-01-08,109.28,2.525,-0.004999999999999893,86400,0.0,0.0,4.040354915103376,0.1316453751968519,1.0280819387214188,0.0,0.0,5.142211858651278,5.200082229021647
2022-01-09,109.26,2.519,-0.005999999999999783,86400,0.0,0.0,4.034056618343379,0.13145106457404582,0.33379159594771207,0.0,0.0,4.429854834420695,4.499299278865137
2022-01-10,109.25,2.517,-0.002000000000000224,86400,0.0,0.0,4.030903779551182,0.13135380147188339,0.3069487275721719,0.0,0.0,4.446058160447086,4.469206308595237
2022-01-11,109.24,2.514,-0.0030000000000001137,86400,0.0,0.0,4.02774847278228,0.13125646629625515,0.49368013488983137,0.0,0.0,4.617962851746143,4.6526850739683665
2022-01-12,109.23,2.511,-0.0029999999999996696,86400,0.0,0.0,4.024590692231945,0.1311590588867006,0.7683528419268102,0.0,0.0,4.889380370823238,4.924102593045456
2022-01-13,109.22,2.508,-0.0030000000000001137,86400,0.0,0.0,4.0214304320726475,0.13106157908216276,0.10754400121521064,0.0,0.0,4.225313790147797,4.260036012370021
2022-01-14,109.21,2.506,-0.002000000000000224,86400,0.0,0.0,4.01826768645395,0.13096402672098548,1.0608247504306905,0.0,0.0,5.186908315457475,5.210056463605626
2022-01-15,109.2,2.503,-0.0029999999999996696,86400,0.0,0.0,4.01510244950238,0.13086640164091026,0.3100789544959365,0.0,0.0,4.421325583417008,4.456047805639226
2022-01-16,109.19,2.501,-0.002000000000000224,86400,0.0,0.0,4.011934715321275,0.1307687036790724,0.9065035687781053,0.0,0.0,5.026058839630301,5.049206987778453
2022-01-17,109.19,2.501,0.0,86400,0.0,0.0,4.011934715321275,0.1307687036790724,0.36918534948320597,0.0,0.0,4.511888768483553,4.511888768483553
2022-01-18,109.18,2.498,-0.0029999999999996696,86400,0.0,0.0,4.008764477990696,0.13067093267199895,0.689153885352283,0.0,0.0,4.79386707379276,4.828589296014978
2022-01-19,109.18,2.498,0.0,86400,0.0,0.0,4.008764477990696,0.13067093267199895,0.9438528069924021,0.0,0.0,5.083288217655097,5.083288217655097
2022-01-20,109.17,2.495,-0.0030000000000001137,86400,0.0,0.0,4.005591731567261,0.13057308845560436,0.7158726025756994,0.0,0.0,4.817315200376342,4.852037422598565
2022-01-21,109.16,2.492,-0.0030000000000001137,86400,0.0,0.0,4.002416470084041,0.1304751708651883,0.8175729316278931,0.0,0.0,4.9157423503549,4.950464572577123
2022-01-22,109.16,2.491,-0.0009999999999998899,86400,0.0,0.0,4.002416470084041,0.1304751708651883,0.6980090974733243,0.0,0.0,4.819326664348481,4.830900738422554
2022-01-23,109.15,2.49,-0.0009999999999998899,86400,0.0,0.0,3.9992386875504216,0.13037717973543192,0.3616747192842699,0.0,0.0,4.479716512496051,4.491290586570123
2022-01-24,109.14,2.487,-0.0030000000000001137,86400,0.0,0.0,3.9960583779519543,0.13027911490039423,0.41673752300215655,0.0,0.0,4.508352793632281,4.543075015854505
